,ALL_Uniq,Name_USGSO,density_pop,evi,wind_power,wind_std,offshore_wind,geothermal_potential,hydro,temp,solar_pow,solar_seas_ind,res_area,consumption_label,gdp_cons_pop_urban_merged,cluster_label_mk_5,cluster_label_mk_6,cluster_label_mk_7,cluster_label_mk_8,cluster_label_mk_9,cluster_label_mk_10,cluster_label_mk_11,cluster_label_mk_12,cluster_label_mk_13,cluster_label_mk_14,cluster_label_mk_15,cluster_label_mk_16,cluster_label_mk_17,cluster_label_mk_18,cluster_label_mk_19,cluster_label_mk_20,cluster_label_mk_21,cluster_label_mk_22,cluster_label_mk_23,cluster_label_mk_24,cluster_label_mk_25,cluster_label_mk_26,cluster_label_mk_27,cluster_label_mk_28,cluster_label_mk_29,cluster_label_mk_30
0,87884,Canchimalero,0.4657111070612902,-0.0228503847902223,-0.8447879719020136,-0.0274827978745102,0.0,0.0,4.237127562905131,-0.0768179644579875,-0.3814678598903934,-0.5606395886877519,0.1311283576317114,XS,0.1521194126689955,2,1,2,2,7,0,5,8,9,12,5,13,13,7,18,1,6,15,13,22,6,20,6,1,5,26
1,87889,Sanquiamba,-1.1605920836736403,-0.1165562419621399,-0.5016868464030528,0.2628770557901276,0.0,0.0,0.0,-0.0456984615386113,-0.6171146623489653,-0.4306316472268892,0.1006103786950901,XS,-0.1591851442984634,0,4,3,7,8,7,10,11,2,8,2,1,1,0,1,19,20,19,17,12,16,7,17,4,15,8
2,87891,Mulato,-0.7174257379404531,-0.1085075522907212,-0.5159544766532479,0.1486113034148553,0.0,0.0,0.0,-0.0480970896096978,-0.5755356806930965,-0.4312790008574544,-0.5842544372500676,XS,-0.1618890045798251,0,4,3,7,8,7,10,11,2,8,2,1,1,0,1,19,20,3,17,12,16,7,0,4,20,22
3,87949,Ilha São Domingos,-0.9810680631373436,1.0028899506960474,-1.2337880460803992,-0.0519950250297251,0.0,0.0,5.305747846389204,0.0838695886234419,0.4818262369167864,-0.1981927347276811,-0.4191360208742697,S,0.0599960667873695,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,26,24,8,20
4,87952,Ilha Buiuçu,0.0158000104576387,0.893984178582244,-1.2522509904511232,0.0191974091086089,0.0,0.0,4.970386461346431,0.0844449853456776,0.4815363731454391,-0.2009443950502309,1.0557587340369834,M,1.079595667427347,2,1,2,2,7,4,5,2,11,12,0,0,0,14,17,18,11,9,20,16,14,1,26,13,8,20
5,87954,Ilha Santarém,-0.2302076358157926,0.9750550729444748,-1.1015025389884123,0.3827423487131864,0.0,0.0,4.345324257529271,0.0848153744729584,0.8342544681841572,-0.1925540665808547,-0.0627699674514689,XS,-0.0664286635569256,2,1,2,2,7,4,5,2,11,12,9,13,0,14,17,18,6,9,11,16,3,3,6,24,25,20
6,87955,Ilha Sirituba,-0.0496222336063473,1.0057523295073365,-0.7895858883645124,0.1315451424155606,0.0,0.0,5.053411105596616,0.0721885117112693,0.6747591239379896,-0.2612381365897621,0.6459380464010076,S,0.6736380566058215,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,14,1,26,24,8,20
7,87957,Ilha de Palhêta,-0.2941659374458735,0.8820519163298344,-0.8450857536398869,0.2459704076316932,0.0,0.0,5.0001763191695705,0.0934045531844752,0.7074171088431142,-0.1851798506622578,0.3436638426404639,S,0.1745976915998194,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,26,24,8,20
8,87961,Ilha do Comandaí,-1.441483089657161,0.404429299599591,-1.1162319090726711,-0.1887547193430611,0.0,2.2584915409592883,5.215201813729331,0.0726857115657594,0.6631030868295711,-0.2665432823527579,1.2123369629845806,S,0.0463248766407836,2,1,2,2,7,4,5,2,11,12,0,3,0,14,17,18,11,9,11,16,13,25,3,24,8,20
9,87963,Ilha de Santana,-0.3161727622479494,0.8836660977956123,-0.7244645755899092,0.0810823254520035,0.0,0.0,5.053948408156493,0.0769695982477264,0.8420727382391069,-0.1666471204126937,0.6979740814603117,XS,-0.0713168782118499,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,26,24,8,20
10,87964,Ilha Grande de Taiaçuí,-1.3099530507986663,0.2984677407356778,-1.1836185619419763,0.0062837344738622,0.0,0.0,4.554261135689108,0.088945087325307,0.4094473996072199,-0.2158394203616851,0.2337638278139933,XS,-0.1455680013387739,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,26,24,8,20
11,87965,Ilha dos Macacos,-0.9923896061028497,1.042771047595577,-1.2052085020096897,0.285916684940958,0.0,0.0,5.890392949801199,0.0784448463862032,0.3050510592105325,-0.1602227799191787,1.9692005134808648,M,0.818156713070085,2,1,2,2,7,4,1,2,11,12,0,0,0,14,17,18,11,9,20,16,14,1,26,13,8,20
12,87969,Ilha Tapuia,-1.0323287538793646,0.9486770631806036,-1.2119475280406171,0.2150757432489744,0.0,2.8175757467146583,5.394366576507457,0.0789767055590277,0.2523712466850491,-0.0814773292040799,-0.6050376664718757,S,-0.0095524179967911,2,1,2,2,7,4,5,2,11,1,7,3,6,8,17,8,15,10,11,16,13,25,3,10,22,27
13,87971,Ilha Ituquara,-1.055616420597429,0.7702773235908786,-1.2155429914201332,0.0093913110779807,0.0,0.0,5.5874692178558965,0.0840602620761188,0.2808693936796522,-0.0925178930290983,0.7801480617000875,S,0.1255319815497406,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,20,16,14,1,26,24,8,20
14,87972,Ilha Urutaí,-1.1341877816412131,0.5659146614754877,-1.2167181462809735,-0.0148375731759864,0.0,1.9822528168932405,5.556777230242298,0.0933077807309999,0.4253394004650996,-0.1283841091172231,-1.0670050247265703,S,0.1595067189994874,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,3,24,8,20
15,87974,Ilha Aranaí,-1.0544921740423043,0.6079684691980142,-1.1821579334487005,-0.0303889612221208,0.0,0.0,4.602101004631845,0.0833252687602162,0.278256959841424,-0.0861472748080764,0.8258922713711341,S,-0.0387864115833845,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,26,24,8,20
16,87975,Ilha Japichaua,-1.1026823832884007,1.0210440031739343,-1.170958533789923,0.1794737712105592,0.0,0.0,5.736413758054119,0.0791496217432088,0.1596002002695147,-0.0586799709449204,-0.1857164335144965,M,0.4971025077987696,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,1,26,24,8,20
17,87976,Ilha Santa Cruz,-0.9891890385847016,0.6249737698786865,-1.098052601726272,0.1268176118147611,0.0,0.0,5.6175785534943055,0.0882627301323072,0.1089787133122865,-0.0035203458926855,-0.645503192755108,S,-0.1006011274090238,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,26,24,8,20
18,87979,Ilha do Mututi,-1.061568876309846,0.8999480153609708,-1.1593601191074898,-0.0445892658973073,0.0,0.0,5.649056560313149,0.0859257425260387,0.214476682435939,-0.0638043046260687,1.0192879319343344,S,0.3737724560498984,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,20,16,14,1,26,13,8,20
19,87980,Ilha Capinal,-1.0125953072024665,0.6057027859096293,-1.097729863754482,0.0506193042732199,0.0,0.0,5.083763692949948,0.0873823033319166,0.0617111551437277,-0.0354903358168611,-0.447444473132701,S,-0.0347980086058234,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,26,24,8,20
20,87981,Ilha Caldeirão,-1.0689551761262033,0.85368898827922,-1.08710737017191,-0.1174975895225864,0.0,0.0,5.057155400074639,0.0911398028494219,0.2796316168176618,-0.0524244164114037,-0.6453443334895559,S,-0.1091851498806567,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,26,24,8,20
21,87982,Ilha Grande de Gurupá,-1.4435056435080758,0.9531928517117042,-1.1786423545610698,0.0363847023860113,0.0,2.220199603632923,6.523974740165156,0.0910412763211968,0.3351376011137809,-0.1397180619440429,-1.0670050247265703,M,1.927504022929748,2,1,1,0,3,4,1,6,11,1,7,3,6,8,11,8,15,10,9,23,13,25,3,10,22,27
22,87983,Ilha Acarapereira,-1.19369956060837,0.8803987169540305,-1.0448994190343648,0.1978705957470628,0.0,0.0,5.4200447411618,0.0871570981793273,-0.0250583936423212,-0.0030202201221474,0.2258793095998765,S,0.3569917641743678,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,1,26,24,8,20
23,87984,Ilha Porquinhos,-0.8413874081183218,0.3005983245185563,-0.9641178629892406,-0.1262985249743763,0.0,0.0,4.852081794652362,0.0893877940588133,0.292260454310223,-0.0707271058590249,0.8490616976318113,XS,-0.1150970127448873,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,26,24,8,20
24,87986,Ilha Maracujá,-1.0498634693592803,0.7336102918306631,-1.0647791232980095,-0.0731199633081624,0.0,0.0,5.113701938912304,0.0952019547438645,0.1802910568974781,-0.0497210950890019,0.718556272482441,S,-0.0227045415430323,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,26,24,8,20
25,87987,Ilha Vieira,-1.1343758585182389,0.7391296300150915,-1.0748248570407004,-0.020233804088246,0.0,0.0,5.350453477935215,0.0955690525119355,0.2017358521226299,-0.0358804317604707,0.4332382591805281,S,0.0114456174511028,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,26,24,8,20
26,87988,Ilha Rasa,-0.992608991963042,0.6848913056619657,-0.9252924899862844,-0.0761420582050529,0.0,0.0,4.826869232278944,0.0894119387135166,0.1649172973277634,-0.0154020514976495,0.3816592836702172,XS,-0.1689371169596694,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,26,24,8,20
27,87989,Ilha Charapucu,-1.34297009733581,0.9793346806983296,-0.828230808801931,0.0229533396126312,0.0,0.0,5.837424017330304,0.082524224708099,-0.0654431511998237,0.0147598453121724,0.5166657484769622,M,0.8627994198814529,2,1,2,2,7,4,5,2,11,12,0,0,0,14,17,18,11,9,20,16,14,1,26,13,8,20
28,88142,Samiruddin Char,0.6667519785757899,-0.5271247778805317,-0.5654326923566472,0.6334323626637307,0.0,0.0,0.0,-0.0413445680172576,-0.0532465474370106,-0.007258529494096,-0.2094493524636216,XS,0.3154829647984477,0,4,3,7,8,7,10,11,2,8,2,5,1,0,5,3,9,13,3,7,21,7,18,4,13,29
